2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/resource/Beach with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Hotel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Hotel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#BusinessHotel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#BusinessHotel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#ConferenceHotel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#ConferenceHotel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#GolfHotel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#GolfHotel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#CasinoHotel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#CasinoHotel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2002/07/owl#Restriction with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2002/07/owl#Restriction with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMap with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMap with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapValue with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapValue with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn with geometry
2015-07-21 16:29:32 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable with list
2015-07-21 16:29:32 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable with geometry
2015-07-21 16:29:33 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapATable with list
2015-07-21 16:29:33 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapATable with geometry
2015-07-21 16:29:33 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapFText with list
2015-07-21 16:29:33 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadMapFText with geometry
2015-07-21 16:29:33 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadStorage with list
2015-07-21 16:29:33 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#QuadStorage with geometry
2015-07-21 16:29:33 INFO  AveragePointsPerClass:89 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap with list
2015-07-21 16:29:33 INFO  AveragePointsPerClass:109 - Proccesing class http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap with geometry
2015-07-21 16:29:33 INFO  AveragePointsPerClass:89 - Proccesing class http://www.w3.org/2002/07/owl#Class with list
2015-07-21 16:29:33 INFO  AveragePointsPerClass:109 - Proccesing class http://www.w3.org/2002/07/owl#Class with geometry
